symbol,name,ann_date,period,period_end,holders,holders_prev,holders_chg_pct,avg_hold_value
600735,ST新华锦,2016-04-30,20160331,2016-03-31,35036,25126,39.441216269999,154535.022902158
600728,佳都科技,2016-04-30,20160331,2016-03-31,47947,47028,1.954154971506,255456.235709012
600727,鲁北化工,2016-04-30,20160331,2016-03-31,30878,31970,-3.415702220832,99801.2309560205
600712,南宁百货,2016-04-30,20160331,2016-03-31,45276,54972,-17.63807029033,112116.528739288
600686,金龙汽车,2016-04-30,20160331,2016-03-31,21242,19207,10.595095538085,421877.780221731
600678,ST金顶,2016-04-30,20160331,2016-03-31,55792,31885,74.978830170927,86634.4906079725
600668,尖峰集团,2016-04-30,20160331,2016-03-31,23895,26674,-10.41838494414,194109.646429797
600664,哈药股份,2016-04-30,20160331,2016-03-31,57682,59955,-3.79117671587,341398.588433653
600662,外服控股,2016-04-30,20160331,2016-03-31,128896,108089,19.249877415833,111223.462477579
600657,信达地产,2016-04-30,20160331,2016-03-31,43460,41987,3.508228737466,200265.235246664
600655,豫园股份,2016-04-30,20160331,2016-03-31,130316,125215,4.073793075909,141729.238095092
600653,申华控股,2016-04-30,20160331,2016-03-31,225262,225639,-0.167081045387,35166.9073798066
600651,飞乐音响,2016-04-30,20160331,2016-03-31,83443,86949,-4.03224878952,170376.48009851
600649,城投控股,2016-04-30,20160331,2016-03-31,103121,109709,-6.004976802268,443836.466827901
600645,中源协和,2016-04-30,20160331,2016-03-31,50605,33149,52.659205405895,300144.892654086
600644,乐山电力,2016-04-30,20160331,2016-03-31,27188,26509,2.561394243464,149511.73221458
600640,国脉文化,2016-04-30,20160331,2016-03-31,30501,28781,5.976164830965,280486.718898397
600635,大众公用,2016-04-30,20160331,2016-03-31,256277,263983,-2.91912736805,66718.5170645434
600633,浙数文化,2016-04-30,20160331,2016-03-31,66401,67801,-2.064866299907,306015.237556663
600630,龙头股份,2016-04-30,20160331,2016-03-31,96244,90561,6.2753282318,91952.4029083372
600624,ST复华,2016-04-30,20160331,2016-03-31,71929,69674,3.236501420903,104272.685774027
600588,用友网络,2016-04-30,20160331,2016-03-31,106929,100645,6.243727954692,285795.286175032
600587,新华医疗,2016-04-30,20160331,2016-03-31,19983,19083,4.716239584971,524941.651839564
600586,金晶科技,2016-04-30,20160331,2016-03-31,123389,121547,1.515463154171,52496.4320644466
600579,中化装备,2016-04-30,20160331,2016-03-31,14162,14547,-2.646593799409,321696.144749329
600578,京能电力,2016-04-30,20160331,2016-03-31,94137,91325,3.079113057761,240339.852285499
600576,祥源文旅,2016-04-30,20160331,2016-03-31,35817,41984,-14.688929115854,379736.661092219
600551,时代出版,2016-04-30,20160331,2016-03-31,18758,20521,-8.591199259295,490508.696782173
600533,栖霞建设,2016-04-30,20160331,2016-03-31,89627,75121,19.310179576949,70759.9272540641
600528,中铁工业,2016-04-30,20160331,2016-03-31,169587,168747,0.497786627318,117794.689451432
600502,安徽建工,2016-04-30,20160331,2016-03-31,47651,47667,-0.033566198838,152593.042188621
600500,中化国际,2016-04-30,20160331,2016-03-31,67160,70573,-4.836127130772,327835.674992108
600487,亨通光电,2016-04-30,20160331,2016-03-31,72382,82346,-12.100162728001,200298.73005996
600481,双良节能,2016-04-30,20160331,2016-03-31,63042,61727,2.130348145868,161427.519340122
600478,科力远,2016-04-30,20160331,2016-03-31,37393,41136,-9.099085958771,427815.601716899
600477,杭萧钢构,2016-04-30,20160331,2016-03-31,47067,42533,10.659958150142,204949.086876155
600461,洪城环境,2016-04-30,20160331,2016-03-31,21038,22346,-5.853396581044,209093.06968343
600460,士兰微,2016-04-30,20160331,2016-03-31,75604,72201,4.713231118683,100131.07454632
600459,贵研铂业,2016-04-30,20160331,2016-03-31,28991,30335,-4.430525795286,159785.965316822
600448,华纺股份,2016-04-30,20160331,2016-03-31,43339,45959,-5.700733262255,70655.5234834676
600438,通威股份,2016-04-30,20160331,2016-03-31,32502,35392,-8.16568716094,448450.883352409
600425,青松建化,2016-04-30,20160331,2016-03-31,99461,91449,8.761167426653,71669.747384603
600423,*ST柳化,2016-04-30,20160331,2016-03-31,25229,31317,-19.439920809784,143251.614913393
600416,湘电股份,2016-04-30,20160331,2016-03-31,27837,26334,5.707450444293,341298.205599741
600408,安泰集团,2016-04-30,20160331,2016-03-31,80495,77133,4.358705093799,69792.459158954
600403,大有能源,2016-04-30,20160331,2016-03-31,34742,37584,-7.561728395062,388123.365012953
600388,龙净环保,2016-04-30,20160331,2016-03-31,160419,164422,-2.434589045262,87832.9811306641
600386,北巴传媒,2016-04-30,20160331,2016-03-31,18537,20462,-9.407682533477,354542.806279333
600379,宝光股份,2016-04-30,20160331,2016-03-31,27272,14561,87.294828651878,186891.207047521
600368,五洲交通,2016-04-30,20160331,2016-03-31,63396,69903,-9.308613364233,69707.0496498202
600366,宁波韵升,2016-04-30,20160331,2016-03-31,42712,44304,-3.593355001806,257419.395907473
600363,联创光电,2016-04-30,20160331,2016-03-31,52966,53631,-1.239954503925,137649.77098516
600360,华微电子,2016-04-30,20160331,2016-03-31,75891,75376,0.683241350032,84514.8331159163
600352,浙江龙盛,2016-04-30,20160331,2016-03-31,185119,198834,-6.8977136707,186463.037476434
600350,山东高速,2016-04-30,20160331,2016-03-31,72104,73077,-1.331472282661,375663.815806474
600345,长江通信,2016-04-30,20160331,2016-03-31,21591,21328,1.233120780195,195331.388078366
600339,中油工程,2016-04-30,20160331,2016-03-31,59335,60498,-1.922377599259,52422.2165912193
600336,澳柯玛,2016-04-30,20160331,2016-03-31,55872,43445,28.603982046265,81303.6855670103
600330,天通股份,2016-04-30,20160331,2016-03-31,61667,63289,-2.562846624216,164836.467642013
600325,华发股份,2016-04-30,20160331,2016-03-31,40253,37793,6.509141904586,360997.616490696
600319,亚星化学,2016-04-30,20160331,2016-03-31,29186,33237,-12.188223967265,82504.7015692456
600287,苏豪时尚,2016-04-30,20160331,2016-03-31,51684,52609,-1.758254291091,73526.1559438124
600283,钱江水利,2016-04-30,20160331,2016-03-31,54563,53030,2.890816518952,89926.1594157213
600282,南钢股份,2016-04-30,20160331,2016-03-31,190551,183526,3.827795516712,54476.9108393029
600273,嘉化能源,2016-04-30,20160331,2016-03-31,49158,49792,-1.273296915167,227466.573785752
600266,城建发展,2016-04-30,20160331,2016-03-31,70173,68150,2.968451944241,276682.279509213
600261,阳光照明,2016-04-30,20160331,2016-03-31,55855,62925,-11.235597934049,209801.64076806
600259,中稀有色,2016-04-30,20160331,2016-03-31,28866,32657,-11.608537220198,384293.992195663
600258,首旅酒店,2016-04-30,20160331,2016-03-31,20714,20613,0.489982050163,245989.572269962
600246,万通发展,2016-04-30,20160331,2016-03-31,55404,56688,-2.265029635902,124745.938921378
600237,铜峰电子,2016-04-30,20160331,2016-03-31,59764,61334,-2.559754785274,70163.7418504451
600229,城市传媒,2016-04-30,20160331,2016-03-31,55337,55803,-0.835080551225,161894.303767823
600227,赤天化,2016-04-30,20160331,2016-03-31,108749,120918,-10.063844919698,54708.1555946262
600226,亨通股份,2016-04-30,20160331,2016-03-31,65776,86588,-24.035663140389,157648.515049562
600222,太龙药业,2016-04-30,20160331,2016-03-31,47912,53674,-10.735179043857,104207.936677659
600218,全柴动力,2016-04-30,20160331,2016-03-31,28793,23948,20.23133455821,133962.327649081
600203,福日电子,2016-04-30,20160331,2016-03-31,21538,24025,-10.351716961498,209403.363158139
600199,金种子酒,2016-04-30,20160331,2016-03-31,48328,52152,-7.332412946771,96370.5205421288
600195,中牧股份,2016-04-30,20160331,2016-03-31,27389,30222,-9.373965985044,298156.194092519
600191,华资实业,2016-04-30,20160331,2016-03-31,23388,25233,-7.311853525146,356006.603386352
600189,泉阳泉,2016-04-30,20160331,2016-03-31,29979,35558,-15.689858822206,112997.598318823
600182,S佳通,2016-04-30,20160331,2016-03-31,27429,30124,-8.946355065728,233409.894637063
600172,黄河旋风,2016-04-30,20160331,2016-03-31,39248,28103,39.657687791339,323032.565022422
600170,上海建工,2016-04-30,20160331,2016-03-31,238536,213773,11.583782797641,134044.72530377
600169,ST太重,2016-04-30,20160331,2016-03-31,181987,187068,-2.716124617786,59271.2652552105
600165,ST宁科,2016-04-30,20160331,2016-03-31,34030,30524,11.486043768838,278542.211166618
600162,香江控股,2016-04-30,20160331,2016-03-31,52516,54884,-4.314554332775,205804.283693351
600161,天坛生物,2016-04-30,20160331,2016-03-31,28994,25591,13.297643702864,514684.618493482
600158,中体产业,2016-04-30,20160331,2016-03-31,100155,97807,2.400646170519,172361.097614498
600153,建发股份,2016-04-30,20160331,2016-03-31,121959,121996,-0.030328863241,402408.359975894
600150,中国船舶,2016-04-30,20160331,2016-03-31,135687,130128,4.271947620804,255133.609422863
600136,ST明诚,2016-04-30,20160331,2016-03-31,8726,9716,-10.189378344998,1684982.62359386
600130,波导股份,2016-04-30,20160331,2016-03-31,98215,101826,-3.546245556145,67795.7542126966
600129,太极集团,2016-04-30,20160331,2016-03-31,34506,34815,-0.887548470487,207224.091462354
600128,苏豪弘业,2016-04-30,20160331,2016-03-31,27329,29422,-7.1137244239,118738.066705697
600126,杭钢股份,2016-04-30,20160331,2016-03-31,41186,43501,-5.321716742144,357208.673542223
600121,郑州煤电,2016-04-30,20160331,2016-03-31,63171,69380,-8.949264917844,79721.756666825
600120,浙江东方,2016-04-30,20160331,2016-03-31,24849,24849,0.0,403988.200589159
600117,西宁特钢,2016-04-30,20160331,2016-03-31,64268,72883,-11.820314751039,71967.5131088567
600113,浙江东日,2016-04-30,20160331,2016-03-31,35819,35160,1.874288964733,107181.38418158
600110,诺德股份,2016-04-30,20160331,2016-03-31,127546,135140,-5.619357703123,60335.7841792765
600104,上汽集团,2016-04-30,20160331,2016-03-31,121140,127409,-4.92037454183,1825762.47794073
600100,同方股份,2016-04-30,20160331,2016-03-31,208341,208647,-0.146659189924,182237.512358633
600095,湘财股份,2016-04-30,20160331,2016-03-31,48146,52402,-8.121827411168,71283.2606550908
600072,中船科技,2016-04-30,20160331,2016-03-31,79552,81628,-2.543244964963,96164.6354603278
600071,凤凰光学,2016-04-30,20160331,2016-03-31,11666,10275,13.537712895377,491392.515672896
600039,四川路桥,2016-04-30,20160331,2016-03-31,165317,163690,0.993951982406,73430.5929906785
600033,福建高速,2016-04-30,20160331,2016-03-31,180433,188756,-4.409396257602,52778.9705874203
600030,中信证券,2016-04-30,20160331,2016-03-31,612348,624221,-1.902050716012,285992.175135707
600018,上港集团,2016-04-30,20160331,2016-03-31,314844,311324,1.130654880446,408500.382117811
600015,华夏银行,2016-04-30,20160331,2016-03-31,120804,122470,-1.36033314281,898690.553820735
600010,包钢股份,2016-04-30,20160331,2016-03-31,521700,522952,-0.239410117946,184741.773651064
600007,中国国贸,2016-04-30,20160331,2016-03-31,17830,17995,-0.916921367046,857574.24936175
600006,东风股份,2016-04-30,20160331,2016-03-31,174832,176654,-1.031394703771,71039.626612977
600000,浦发银行,2016-04-30,20160331,2016-03-31,184005,196015,-6.127082111063,1915045.58421624
300401,花园生物,2016-04-30,20160331,2016-03-31,14294,14681,-2.636060213882,450517.699734154
300373,扬杰科技,2016-04-30,20160331,2016-03-31,21606,21334,1.274960157495,307613.683698973
300318,博晖创新,2016-04-30,20160331,2016-03-31,17795,17855,-0.336040324839,371977.188920483
300231,银信科技,2016-04-30,20160331,2016-03-31,44454,40561,9.597889598383,134135.203435012
300148,天舟文化,2016-04-30,20160331,2016-03-31,25357,27836,-8.905733582411,356776.011467445
300142,沃森生物,2016-04-30,20160331,2016-03-31,64047,78485,-18.395871822641,244642.840414071
300135,宝利国际,2016-04-30,20160331,2016-03-31,67340,73030,-7.791318636177,72671.4582714583
300013,新宁物流,2016-04-30,20160331,2016-03-31,26237,28458,-7.804483800689,171158.839150818
002795,永和智控,2016-04-30,20160331,2016-03-31,6,0,,
002741,光华科技,2016-04-30,20160331,2016-03-31,61264,55704,9.981329886543,172819.27396187
002715,登云股份,2016-04-30,20160331,2016-03-31,8697,12787,-31.985610385548,315658.27296769
002712,思美传媒,2016-04-30,20160331,2016-03-31,9825,9899,-0.747550257602,898980.4051257
002702,海欣食品,2016-04-30,20160331,2016-03-31,81281,88286,-7.934440341617,69516.1722911874
002659,凯文教育,2016-04-30,20160331,2016-03-31,11987,14532,-17.513074593999,514225.410861767
002647,仁东控股,2016-04-30,20160331,2016-03-31,35175,35240,-0.184449489217,148823.275621891
002625,光启技术,2016-04-30,20160331,2016-03-31,36247,43083,-15.867047327252,405657.64186443
002623,亚玛顿,2016-04-30,20160331,2016-03-31,23653,23343,1.32802124834,259282.120661227
002622,皓宸医疗,2016-04-30,20160331,2016-03-31,30660,31709,-3.308209025829,338630.136986301
002611,东方精工,2016-04-30,20160331,2016-03-31,32904,34973,-5.915992336946,211458.575175055
002608,江苏国信,2016-04-30,20160331,2016-03-31,31457,31460,-0.009535918627,104267.333184983
002605,姚记科技,2016-04-30,20160331,2016-03-31,27851,33283,-16.320644172701,213649.061075006
002578,闽发铝业,2016-04-30,20160331,2016-03-31,41833,44831,-6.687336887422,97331.293476442
002570,贝因美,2016-04-30,20160331,2016-03-31,92529,104232,-11.227837900069,131615.095807801
002552,宝鼎科技,2016-04-30,20160331,2016-03-31,12868,9633,33.582476902315,344342.55517563
