date,股东户数_筹码集中,股东户数_筹码分散,波动倾斜反转_w0.5,波动倾斜反转_w0.3,【对照】价格反转20,【对照】价格反转60
2021-02-05,0.0,-0.0063727558228020564,-0.033517103874748336,-0.02891213207117819,-0.008577130796917031,-0.014113809537682875
2021-02-08,0.0,0.004699868495897408,-0.046999552656435,-0.04037670273902202,-0.027008048071323766,-0.032755658721229985
2021-02-09,0.0,0.004817763155116306,0.035019553370613,0.03879731191278153,0.02309158183248635,0.015268967156265679
2021-02-10,0.0,-0.0006761546450223865,-0.00029135609929995324,-0.0013239260547869038,0.0044268190941954,0.008175931346727556
2021-02-18,0.0,0.009392625907740804,0.04479496385728652,0.04479496385728652,0.027906774021439106,0.07238099300227599
2021-02-19,0.0,0.0157728756644695,0.047998910080633596,0.047998910080633596,0.04718859713221577,0.06652244827086513
2021-02-22,0.0,0.005879603873804051,0.026930775076903078,0.026930775076903078,0.03849896636105228,0.049147550526915794
2021-02-23,0.0,0.010022711732788426,-0.009618647791346358,-0.009618647791346358,-0.023818432730368044,-0.019990571989659055
2021-02-24,0.0,0.0028518115122285526,0.002564665245579219,-0.002884399402329489,0.0019308642296297137,0.036247088067639606
2021-02-25,0.0,-0.001197682234524422,0.009270991613145929,0.008642519419229822,-0.01184589522490669,0.010973718519076003
2021-02-26,0.0,-0.010237741679459256,0.032140532793993024,0.01378935577985505,0.005804334083902618,0.008784698270502178
2021-03-01,0.0,0.011864699715684091,0.024868452281476838,0.0337296039630568,0.01262764236772269,0.023418167441155834
2021-03-02,0.0,-0.005857386075771543,-0.002163441248733189,0.004783724334756845,-0.011993291103507709,-0.011340129415911615
2021-03-03,0.0,0.010238591030368538,0.003364806993854781,0.003068963141093413,0.008838338554541032,0.01299895107772761
2021-03-04,0.0,0.006408043637065863,-0.030189694663921362,-0.030189694663921362,-0.02168084923356629,0.00565025481859407
2021-03-05,0.0,-0.001566060669614111,0.009304285904422782,0.009304285904422782,0.005226295455352137,0.042479768997125564
2021-03-08,0.0,-0.014335755340429279,0.001579510170117948,0.001579510170117948,-0.01036010890764385,0.037007478916272964
2021-03-09,0.0,-0.007037611248685349,0.012668469866953191,0.012668469866953191,0.004275643452704969,-0.01925745955712178
2021-03-10,0.0,-0.0109689338603997,0.005915770069589274,0.004920558167234811,0.01974765239671837,-0.017701480055807066
2021-03-11,0.0,0.010436797595420533,0.01798431130877822,0.015134012044505285,0.022918290041013513,0.01920179501658271
2021-03-12,0.0,-0.00012183969056868138,0.0005101395745872206,0.000199993116537589,0.002397265519896086,-0.011495493017611703
2021-03-15,0.0,-0.005819241791023911,-0.018211839011057496,-0.018102127309030047,-0.029088567414392398,-0.00849758149987635
