strategy,n_days,years,total_return,cagr,vol,sharpe,sortino,max_dd,calmar,t_stat,pos_month_pct,longest_underwater_days,exposure,n_trades,win_rate,profit_factor,expectancy,avg_hold_days,top5_share,p_k,p_n,p_rebal,family
"margin_buy_intensity(k=5,n=60,rebal=5)",2569,10.53,0.5528169260321645,0.04268309558722794,0.09957545507554744,0.4695903174691262,0.6210965138814512,-0.17242953879942635,0.2475393478659002,1.5237238751292337,0.48031496062992124,735,0.42993382639159206,227,0.0,0.0,0.0,0.0,,5,60,5,margin_buy_intensity
"margin_buy_intensity(k=5,n=5,rebal=10)",2569,10.53,0.06809033738103354,0.006276072900565088,0.09462327545150027,0.11348808402225614,0.14756499822592373,-0.21993213597493344,0.02853640679996123,0.3682454614894255,0.4251968503937008,1163,0.417399766446088,668,0.0,0.0,0.0,0.0,,5,5,10,margin_buy_intensity
"margin_buy_intensity(k=5,n=10,rebal=10)",2569,10.53,0.03309720554166029,0.0030974121550992884,0.09451912768757237,0.08006362468736021,0.10254590972561103,-0.22831522381857072,0.013566384682085974,0.25978997421201677,0.4881889763779528,1846,0.4167380303620086,548,0.0,0.0,0.0,0.0,,5,10,10,margin_buy_intensity
"margin_buy_intensity(k=5,n=20,rebal=10)",2569,10.53,0.348218521390534,0.028784587644326898,0.0950390715455046,0.34618970725508813,0.44821740045063285,-0.15102486686815653,0.19059502081505297,1.1233143074830516,0.5118110236220472,707,0.42129233164655505,362,0.0,0.0,0.0,0.0,,5,20,10,margin_buy_intensity
"margin_buy_intensity(k=5,n=60,rebal=10)",2569,10.53,0.631149213682753,0.04756830818684277,0.10038097717872478,0.5132003100664764,0.6741049912648502,-0.16464763363020996,0.2889097592114729,1.6652293202860335,0.48031496062992124,734,0.42942779291553135,175,0.0,0.0,0.0,0.0,,5,60,10,margin_buy_intensity
"margin_buy_intensity(k=5,n=5,rebal=20)",2569,10.53,0.1265539585245532,0.011382260361913366,0.0942566875866439,0.16728189620027537,0.21351522002561787,-0.18986345790284342,0.05994971590445737,0.5427953039811302,0.4566929133858268,1048,0.41483067341377966,349,0.0,0.0,0.0,0.0,,5,5,20,margin_buy_intensity
"margin_buy_intensity(k=5,n=10,rebal=20)",2569,10.53,0.32159476033494405,0.02683756144739724,0.09594795785689325,0.32408253849450336,0.4163009529091286,-0.14974424011891518,0.1792226627620865,1.0515810974936253,0.48031496062992124,734,0.41666017905799924,302,0.0,0.0,0.0,0.0,,5,10,20,margin_buy_intensity
"margin_buy_intensity(k=5,n=20,rebal=20)",2569,10.53,0.24765651356725282,0.02123801153594096,0.0953529206643173,0.2681558966531301,0.34107553311208144,-0.16025177434660287,0.13252902579416076,0.8701106619685048,0.49606299212598426,536,0.41950175165434017,269,0.0,0.0,0.0,0.0,,5,20,20,margin_buy_intensity
"margin_buy_intensity(k=5,n=60,rebal=20)",2569,10.53,0.6712369897577435,0.049986798459283666,0.09895220271755405,0.5424949474418583,0.7046033507912903,-0.17491784012727296,0.28577301447875464,1.7602843857794939,0.5118110236220472,735,0.4314519268197742,135,0.0,0.0,0.0,0.0,,5,60,20,margin_buy_intensity
"margin_buy_intensity(k=10,n=5,rebal=5)",2569,10.53,0.7675898470866618,0.05559164986339926,0.1894945888749453,0.3804470174448935,0.49612336068739193,-0.3138597149089166,0.1771226035795393,1.2344722242715431,0.4409448818897638,1081,0.8416893732970028,2186,0.0,0.0,0.0,0.0,,10,5,5,margin_buy_intensity
"margin_buy_intensity(k=10,n=10,rebal=5)",2569,10.53,0.15668213056998126,0.013920675548606765,0.18666511994731924,0.16773901433956578,0.21646700656549564,-0.3606124337693638,0.03860287179534687,0.5442785582065269,0.47244094488188976,1077,0.8427792915531335,1309,0.0,0.0,0.0,0.0,,10,10,5,margin_buy_intensity
"margin_buy_intensity(k=10,n=20,rebal=5)",2569,10.53,0.6922180155570052,0.05123172469838466,0.1924708214151264,0.3562559637307666,0.45573732121085697,-0.2777411581536643,0.18445852620100323,1.1559772367526142,0.4566929133858268,751,0.8509147528221097,792,0.0,0.0,0.0,0.0,,10,20,5,margin_buy_intensity
"margin_buy_intensity(k=10,n=60,rebal=5)",2569,10.53,2.2156454231772167,0.11732525311724284,0.19871629545109687,0.6579782782587468,0.8770123130187779,-0.2769456994529368,0.42363991695484227,2.1350040122264544,0.5118110236220472,687,0.8773063448812767,381,0.0,0.0,0.0,0.0,,10,60,5,margin_buy_intensity
"margin_buy_intensity(k=10,n=5,rebal=10)",2569,10.53,0.18139799951175184,0.015958789662847694,0.18475731427937964,0.1783040898829206,0.23127236711630128,-0.34970053413862234,0.0456355884675932,0.5785600526264201,0.4409448818897638,1177,0.8400155702608018,1134,0.0,0.0,0.0,0.0,,10,5,10,margin_buy_intensity
"margin_buy_intensity(k=10,n=10,rebal=10)",2569,10.53,0.23469966131341868,0.02022595037304531,0.18435623452511962,0.2011692678276523,0.25824621753788063,-0.3319246407823132,0.06093536871916097,0.6527528463178204,0.44881889763779526,1100,0.8409887115609186,954,0.0,0.0,0.0,0.0,,10,10,10,margin_buy_intensity
"margin_buy_intensity(k=10,n=20,rebal=10)",2569,10.53,0.7084537596841443,0.05218553477582488,0.19032654940060287,0.3628652549115244,0.4647497220117852,-0.25695062900792465,0.2030955712282589,1.177423025550131,0.4645669291338583,690,0.849591280653951,593,0.0,0.0,0.0,0.0,,10,20,10,margin_buy_intensity
"margin_buy_intensity(k=10,n=60,rebal=10)",2569,10.53,2.107914507407247,0.1137148686008489,0.19879882625313341,0.6415370732045971,0.8492727455550383,-0.26627763368123203,0.42705377477171047,2.081655687644463,0.49606299212598426,755,0.8766835344492021,283,0.0,0.0,0.0,0.0,,10,60,10,margin_buy_intensity
"margin_buy_intensity(k=10,n=5,rebal=20)",2569,10.53,0.07468092361780188,0.006864170415102455,0.18609245193477095,0.13008229872803623,0.16737078569902764,-0.29515175510870884,0.023256410630437478,0.42209027088092266,0.4645669291338583,1081,0.8394706111327365,623,0.0,0.0,0.0,0.0,,10,5,20,margin_buy_intensity
"margin_buy_intensity(k=10,n=10,rebal=20)",2569,10.53,0.17184801458282184,0.015175897109689362,0.1884923245077774,0.1745930570307403,0.2214355355842047,-0.3396953376873715,0.0446750232517352,0.5665185152524562,0.4881889763779528,1099,0.8458154924094978,524,0.0,0.0,0.0,0.0,,10,10,20,margin_buy_intensity
"margin_buy_intensity(k=10,n=20,rebal=20)",2569,10.53,0.6575686772815401,0.049168146899021714,0.19097581217032875,0.3472720992065892,0.4423670794209437,-0.28804307513721283,0.170697201714014,1.1268264464633413,0.4409448818897638,755,0.8492798754379136,441,0.0,0.0,0.0,0.0,,10,20,20,margin_buy_intensity
"margin_buy_intensity(k=10,n=60,rebal=20)",2569,10.53,2.487686326395837,0.1259767929280735,0.19800763209597025,0.698644579477566,0.9205337016176636,-0.26398159404768706,0.4772180931118871,2.266957785068855,0.5196850393700787,735,0.8755157648890618,235,0.0,0.0,0.0,0.0,,10,60,20,margin_buy_intensity
"margin_buy_intensity(k=20,n=5,rebal=5)",2569,10.53,0.8552561107357517,0.06045592130219224,0.20017351890424254,0.39372231525319157,0.5203454611870761,-0.32421034762813206,0.1864712886077743,1.277547831811693,0.4566929133858268,905,0.9026858699883222,1070,0.0,0.0,0.0,0.0,,20,5,5,margin_buy_intensity
"margin_buy_intensity(k=20,n=10,rebal=5)",2569,10.53,1.0889323631202994,0.07247201027428019,0.1986278503514859,0.45194861535981623,0.5954202533242887,-0.3156137913084047,0.22962244448774274,1.466480184827547,0.47244094488188976,895,0.9026858699883222,559,0.0,0.0,0.0,0.0,,20,10,5,margin_buy_intensity
