strategy,family,n_days,years,total_return,cagr,vol,sharpe,sortino,max_dd,calmar,t_stat,pos_month_pct,longest_underwater_days,exposure,n_trades,win_rate,profit_factor,expectancy,avg_hold_days,top5_share,blocked,p_fast,p_slow,p_n1,p_n2,p_n3,p_sig,p_n,p_thresh,p_entry_n,p_exit_n,p_atr_mult,p_atr_n,p_vol_mult,p_k,p_mult,p_hi,p_lo,p_k_hi,p_k_lo,p_ma_n,p_rsi_hi,p_rsi_lo,p_rsi_n,p_dip
"turtle_lite(atr_mult=3.0,atr_n=20,entry_n=20,exit_n=10)",turtle_lite,2569,10.53,-0.09221078042834951,-0.009146434482219412,0.25266118357450557,0.0901903078510014,0.12088103422511856,-0.6375458448886361,-0.014346316512841637,0.2926489756400516,0.4251968503937008,1178,0.8732191514207862,1248,0.0,0.0,0.0,0.0,,168,,,,,,,,,20.0,10.0,3.0,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=1.5,atr_n=14,entry_n=20,exit_n=20)",turtle_lite,2569,10.53,-0.1159112402217759,-0.01163296253554047,0.23183103826096757,0.06552238025610371,0.08773140686701966,-0.5888024201584487,-0.019756988316063647,0.21260663058301987,0.3937007874015748,2220,0.8046321525885558,2152,0.0,0.0,0.0,0.0,,145,,,,,,,,,20.0,20.0,1.5,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=2.0,atr_n=14,entry_n=20,exit_n=20)",turtle_lite,2569,10.53,0.053415912476492355,0.004954742962433034,0.24347376954526387,0.1422531318021306,0.18848051707855215,-0.561654697454503,0.008821688815011459,0.46158211780647046,0.4330708661417323,1116,0.8516154145581938,1571,0.0,0.0,0.0,0.0,,167,,,,,,,,,20.0,20.0,2.0,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=3.0,atr_n=14,entry_n=20,exit_n=20)",turtle_lite,2569,10.53,0.7622854815567912,0.05529037417681537,0.2525570002057664,0.33943924942492837,0.4616508754310156,-0.6158483966878849,0.08977919642914457,1.1014104619793723,0.4251968503937008,1154,0.8912806539509537,922,0.0,0.0,0.0,0.0,,177,,,,,,,,,20.0,20.0,3.0,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=1.5,atr_n=20,entry_n=20,exit_n=20)",turtle_lite,2569,10.53,0.0706111909473448,0.006501402956283764,0.22739511097507015,0.14231329779233678,0.18982117402163495,-0.5742088748215708,0.011322365852154417,0.46177734405440934,0.4094488188976378,1085,0.7981704943557805,2194,0.0,0.0,0.0,0.0,,139,,,,,,,,,20.0,20.0,1.5,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=2.0,atr_n=20,entry_n=20,exit_n=20)",turtle_lite,2569,10.53,0.05992250561592649,0.005542658856039662,0.23802601593427478,0.14232857063644577,0.19183514037197072,-0.5425730972497563,0.010215506231574682,0.4618269012883306,0.3779527559055118,1109,0.8491241728298948,1616,0.0,0.0,0.0,0.0,,163,,,,,,,,,20.0,20.0,2.0,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=3.0,atr_n=20,entry_n=20,exit_n=20)",turtle_lite,2569,10.53,0.6933661785391141,0.05129944799715869,0.24927798910930024,0.3255224630878108,0.43948841196055566,-0.6057114834267674,0.08469287672562505,1.0562533562681105,0.4330708661417323,1178,0.8887894122226548,938,0.0,0.0,0.0,0.0,,174,,,,,,,,,20.0,20.0,3.0,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=1.5,atr_n=14,entry_n=55,exit_n=10)",turtle_lite,2569,10.53,0.3376213798239498,0.02801381144516757,0.21695666999114982,0.2359463168790801,0.3032635368265614,-0.4954216374571655,0.05654539351360015,0.7655972086798808,0.3779527559055118,1105,0.6282989490073959,1669,0.0,0.0,0.0,0.0,,100,,,,,,,,,55.0,10.0,1.5,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=2.0,atr_n=14,entry_n=55,exit_n=10)",turtle_lite,2569,10.53,0.34507334994272987,0.028556399487618567,0.23470562294902605,0.23764351800085934,0.2992688613465007,-0.5235908458761314,0.05453953160665896,0.7711042768070279,0.41732283464566927,1125,0.7083690151810043,1319,0.0,0.0,0.0,0.0,,114,,,,,,,,,55.0,10.0,2.0,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=3.0,atr_n=14,entry_n=55,exit_n=10)",turtle_lite,2569,10.53,0.09048761737677657,0.008261454861445028,0.24537555164990205,0.15655376753822792,0.20190453551683074,-0.606080103950743,0.013630961992635297,0.5079847357694152,0.4409448818897638,1178,0.7804593226936551,1071,0.0,0.0,0.0,0.0,,124,,,,,,,,,55.0,10.0,3.0,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=1.5,atr_n=20,entry_n=55,exit_n=10)",turtle_lite,2569,10.53,0.4745825829909214,0.037576085627625266,0.21493378722590142,0.279243525412313,0.35575120567943397,-0.5240828365704079,0.07169875257415935,0.9060877339617902,0.41732283464566927,1105,0.6132347216815882,1737,0.0,0.0,0.0,0.0,,98,,,,,,,,,55.0,10.0,1.5,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=2.0,atr_n=20,entry_n=55,exit_n=10)",turtle_lite,2569,10.53,0.5103595287379581,0.03994123369754865,0.23217698584718155,0.285022209497014,0.36161611073936145,-0.4670768544553028,0.08551319406337839,0.9248383737836325,0.3858267716535433,965,0.6962242117555469,1375,0.0,0.0,0.0,0.0,,113,,,,,,,,,55.0,10.0,2.0,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=3.0,atr_n=20,entry_n=55,exit_n=10)",turtle_lite,2569,10.53,0.029024716809636697,0.002721173438062774,0.2444756661488639,0.13373088775858222,0.17146757525071668,-0.5948400387167391,0.004574630591332114,0.4339291909130485,0.4330708661417323,1178,0.7750097314130012,1097,0.0,0.0,0.0,0.0,,122,,,,,,,,,55.0,10.0,3.0,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=1.5,atr_n=14,entry_n=55,exit_n=20)",turtle_lite,2569,10.53,0.39458440473569745,0.03209378766891846,0.21733901640913642,0.25412342643774355,0.32743850707566885,-0.48268716854793525,0.0664898297700061,0.8245781858956138,0.3779527559055118,1078,0.6291942390035034,1659,0.0,0.0,0.0,0.0,,100,,,,,,,,,55.0,20.0,1.5,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=2.0,atr_n=14,entry_n=55,exit_n=20)",turtle_lite,2569,10.53,0.43546684053306284,0.03493003177970366,0.2366393322746895,0.26380754206555324,0.3305871979571489,-0.5024661151198311,0.06951718877873654,0.8560011468099981,0.41732283464566927,1080,0.7194628260023356,1282,0.0,0.0,0.0,0.0,,114,,,,,,,,,55.0,20.0,2.0,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=3.0,atr_n=14,entry_n=55,exit_n=20)",turtle_lite,2569,10.53,0.9463209979401839,0.06529326821428261,0.2494093737069659,0.3786617245425802,0.4917480767096248,-0.5302058158815846,0.12314702377550894,1.2286793164577392,0.4566929133858268,1053,0.8244453094589334,842,0.0,0.0,0.0,0.0,,131,,,,,,,,,55.0,20.0,3.0,14.0,,,,,,,,,,,,
"turtle_lite(atr_mult=1.5,atr_n=20,entry_n=55,exit_n=20)",turtle_lite,2569,10.53,0.5464836798003698,0.04227843860318292,0.21509478952533873,0.3002059020521065,0.3835060427017531,-0.5146226441061725,0.08215425241657341,0.9741063292719558,0.41732283464566927,1080,0.613974309069677,1729,0.0,0.0,0.0,0.0,,98,,,,,,,,,55.0,20.0,1.5,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=2.0,atr_n=20,entry_n=55,exit_n=20)",turtle_lite,2569,10.53,0.6002018184816074,0.04566417944222145,0.23386943966583595,0.308131402511795,0.39109473608907314,-0.4677838732248927,0.09761811395380844,0.9998229461261119,0.3937007874015748,965,0.7063059556247567,1336,0.0,0.0,0.0,0.0,,113,,,,,,,,,55.0,20.0,2.0,20.0,,,,,,,,,,,,
"turtle_lite(atr_mult=3.0,atr_n=20,entry_n=55,exit_n=20)",turtle_lite,2569,10.53,0.46683328414306,0.03705695818524268,0.24864436084885327,0.27099261443002737,0.3510912491287093,-0.5509831337939688,0.06725606631563341,0.8793152269752058,0.44881889763779526,1178,0.817516543402102,872,0.0,0.0,0.0,0.0,,130,,,,,,,,,55.0,20.0,3.0,20.0,,,,,,,,,,,,
"vol_breakout(exit_n=5,n=10,vol_mult=1.5)",vol_breakout,2569,10.53,-0.5462103481288726,-0.07229791577740263,0.2518465353675305,-0.17186389958739676,-0.23600397124620592,-0.7754556378790765,-0.0932328198362737,-0.5576629613777053,0.3228346456692913,2261,0.8673803036200857,1909,0.0,0.0,0.0,0.0,,154,,,,,,,10.0,,,5.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=10,n=10,vol_mult=1.5)",vol_breakout,2569,10.53,0.08226498635390334,0.007536893142506829,0.2637303200740891,0.1602056697538537,0.22375558264094794,-0.673419072008582,0.011191980530083323,0.5198344064048244,0.4330708661417323,1178,0.8929933826391592,1202,0.0,0.0,0.0,0.0,,182,,,,,,,10.0,,,10.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=20,n=10,vol_mult=1.5)",vol_breakout,2569,10.53,0.9034309479902307,0.06304106701419165,0.2637958863736561,0.36346020675292345,0.5002466125417807,-0.6424883578316014,0.09812017018791638,1.179353521754094,0.4566929133858268,1126,0.901907356948229,688,0.0,0.0,0.0,0.0,,213,,,,,,,10.0,,,20.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=5,n=10,vol_mult=2.0)",vol_breakout,2569,10.53,0.14845443251682156,0.013233455206678402,0.241572468841527,0.17527270008638668,0.2407462830080419,-0.5667524240537539,0.023349622595391438,0.5687238170057707,0.41732283464566927,2058,0.8270144024912417,1737,0.0,0.0,0.0,0.0,,118,,,,,,,10.0,,,5.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=10,n=10,vol_mult=2.0)",vol_breakout,2569,10.53,0.30608306552899545,0.025686744721422183,0.2626168897830688,0.22779281417944883,0.31739362817100675,-0.6366975968275542,0.04034371238310058,0.73914077151074,0.4566929133858268,1129,0.8811599844297392,1177,0.0,0.0,0.0,0.0,,146,,,,,,,10.0,,,10.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=20,n=10,vol_mult=2.0)",vol_breakout,2569,10.53,0.6702917955646326,0.04993038227119695,0.2685251901663079,0.31549813237076113,0.43578490612167153,-0.637420559882383,0.078331929362947,1.0237264674513191,0.41732283464566927,1119,0.8992214869599066,680,0.0,0.0,0.0,0.0,,189,,,,,,,10.0,,,20.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=5,n=10,vol_mult=3.0)",vol_breakout,2569,10.53,1.161128939155474,0.07593862697912046,0.18850232295794067,0.48256144821607916,0.6498263229204698,-0.3553089049456478,0.21372565089731402,1.565812523193947,0.4015748031496063,792,0.6163876994939665,1176,0.0,0.0,0.0,0.0,,51,,,,,,,10.0,,,5.0,,,3.0,,,,,,,,,,,
"vol_breakout(exit_n=10,n=10,vol_mult=3.0)",vol_breakout,2569,10.53,2.0793217822551653,0.11273762897867345,0.2269163845357567,0.5844264462240448,0.7803308715382373,-0.4009664051409435,0.2811647747372878,1.8963434641666257,0.4409448818897638,893,0.773491630984819,943,0.0,0.0,0.0,0.0,,71,,,,,,,10.0,,,10.0,,,3.0,,,,,,,,,,,
"vol_breakout(exit_n=20,n=10,vol_mult=3.0)",vol_breakout,2569,10.53,0.8915304152415298,0.06240801866004375,0.2579083364119751,0.3639030289582804,0.48729729595914545,-0.5011594886947603,0.12452726141648375,1.180790388617909,0.44881889763779526,1042,0.8683534449202025,649,0.0,0.0,0.0,0.0,,113,,,,,,,10.0,,,20.0,,,3.0,,,,,,,,,,,
"vol_breakout(exit_n=5,n=20,vol_mult=1.5)",vol_breakout,2569,10.53,-0.34447254241143566,-0.039317098833720254,0.24356997399761243,-0.042730539852605366,-0.057317795812390285,-0.6874549525331934,-0.057192254836249574,-0.13865180211015896,0.4330708661417323,2261,0.8158038147138965,1750,0.0,0.0,0.0,0.0,,134,,,,,,,20.0,,,5.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=10,n=20,vol_mult=1.5)",vol_breakout,2569,10.53,-0.21244380754101788,-0.02242751832517942,0.26065140384790164,0.04360378968382766,0.05836995221456901,-0.7286781937350317,-0.030778358015931935,0.1414853179798158,0.4330708661417323,1178,0.8734527053328144,1153,0.0,0.0,0.0,0.0,,157,,,,,,,20.0,,,10.0,,,1.5,,,,,,,,,,,
